"Company","Country","Month","Year","Classification","Keywords","Website","Funding Amount","Funding Type","Investors"
"Aatru Medical, LLC","USA","Jul","2020","Medical Devices","NPSIMS™ - Negative Pressure Surgical Incision Management System","http://www.aatru.com/","NA","Series C","Private (undisclosed)"
"T3 Pharmaceuticals AG","Switzerland","Jul","2020","Early Stage Biotech","Bacterial cancer therapy, ","https://www.t3pharma.com/","CHF 25 Million","Series B","Boehringer Ingelheim Venture Fund (BIVF), Reference Capital SA, Wille Finance AG"
"VarmX","The Netherlands","Jul","2020","Early Stage Biotech","Reversal Agent, Oral Anticoagulants,  bleeding ","https://www.varmx.com/","€32 Million","Series B","Ysios Capital, INKEF Capital,  Lundbeckfonden Ventures, LSP,  BioGeneration Ventures and InnovationQuarter"
"Osivax ","France","Jul","2020","Early Stage Biotech","T-cell based vaccines, Corona virus, COVID-19, influenza","http://www.osivax.com/","€30 Million ","Series B","The European Innovation Council, Bpifrance"
"Tubulis","Germany","Jul","2020","Early Stage Biotech","antibody-drug conjugates (ADCs), cancer, TUB-010, TUB-020","https://tubulis.com/","€10.7 Million","Series A","BioMedPartners and High-Tech Gründerfonds (HTGF), Seventure Partners, coparion, Bayern Kapital, and OCCIDENT"
"ViCentra B.V.","The Netherlands","Jul","2020","Medical Devices","Kaleido,  insulin pump","http://www.hellokaleido.com/","€10 Million","Series B","Invest-NL, INKEF Capital, LSP, Health Innovations and Kreos Capital"
"Antengene Corporation","China","Jul","2020","Early Stage Biotech","Hematology, oncology, Selinexor, Selective Inhibitor of Nuclear Export (SINE)","http://www.antengene.com/","$97 Million","Series C"," Fidelity Management & Research Company LLC , GL Ventures (an affiliate of Hillhouse Capital), GIC, Qiming Venture Partners and Boyu Capital "
"DNA Script","France","Jul","2020","BioSystems","Syntax benchtop DNA printer, Enzymatic DNA synthesis, DNA data storage systems","https://www.dnascript.com/","$89 Million","Series B","Casdin Capital, Danaher Life Sciences, and Agilent Technologies "
"Omega Therapeutics","USA","Jul","2020","Genomics/Gene Therapy","Epigenomic Programming Platform,  oncology, inflammation, autoimmune, metabolic, and rare genetic diseases","https://omegatherapeutics.com/","$85 Million","Series A","Flagship Pioneering"
"NovaSight","Israel","Jul","2020","Medical Devices","AI and eye tracking technology ,","https://nova-sight.com/","$8 Million","Series A","Rimonci Capital"
"BioAtla","USA","Jul","2020","Early Stage Biotech","Oncology, Cancer, Conditionally Active Biologic (CAB) antibody therapeutics, tumor microenvironment","https://www.bioatla.com/","$72.5 Million","Series D","Soleus Capital, HBM Healthcare Investments, Cormorant Asset Management, Farallon Capital, Pappas Capital,, Boxer Capital, Pfizer Ventures"
"Eargo","USA","Jul","2020","Medical Devices","Hearing aid, Hearing loss, direct-to-consumer hearing loss solution, Eargo Neo HiFi ","https://eargo.com/","$71 Million","Series E","Gilde Healthcare, Longitude Capital,  New Enterprise Associates (NEA)"
"Caption Health","USA","Jul","2020","Digital Health","AI-Guided Ultrasound Technology,  Caption AI platform, COVID-19","https://captionhealth.com/","$53 Million","Series B","DCVC, Atlantic Bridge, Edward Lifesciences, Khosla Ventures"
"Adagio Therapeutics","USA","Jul","2020","Early Stage Biotech","SARS-CoV-2 , COVID-19,coronavirus","https://adagiotx.com/","$50 Million","Series A","Polaris Partners, Mithril Capital, Fidelity funds, OrbiMed, M28 Capital, GV"
"CVRx, Inc.","USA","Jul","2020","Medical Devices","neuromodulation for cardiovascular diseases, chronic heart failure, resistant hypertension,BAROSTIM NEOTM","https://www.cvrx.com/","$50 Million","Series C","Strategic Healthcare Investment Partners (""S.H.I.P."") and Vensana Capital, Hatteras Venture Partners and Venrock Healthcare Capital Partners, ohnson & Johnson Innovation, New Enterprise Associates, Gilde Healthcare, and Action Potential Venture Capital"
"Hemovent GmbH","Germany","Jul","2020","Medical Devices","MOBYBOX™ECMO/ECLS system. support or replace heart and lung function","https://www.hemovent.com/","$5.5+ Million","Series B","MIG Funds"
"Noteworth","USA","Jul","2020","Digital Health","Digital Healthcare Delivery SaaS, healthcare data collection, assessment, remote patient monitoring","https://www.noteworth.com/","$5 Million","Seed","Laconia Capital Group, Draper Associates, Frontier Ventures, Techstars Ventures, Wavemaker360, Springtide Capital "
"Tvardi Therapeutics Inc. ","USA","Jul","2020","Early Stage Biotech","TTI-101 in HCC prevention","https://tvarditherapeutics.com/","$5 Milion","Grant Funding","National Cancer Institute (NCI), National Institutes of Health (NIH), V Foundation and the Cancer Prevention & Research Institute of Texas (CPRIT)."
"Glympse Bio","USA","Jul","2020","Early Stage Biotech","NASH Biosensor, oncology and infectious diseases, fibrotic diseases","https://glympsebio.com/","$46.7 Million","Series B","Section 32, Temasek, DNS Capital, New Leaf Venture Partners, Waterman Ventures, Catalio Capital Management,  LS Polaris Innovation Fund, ARCH Venture Partners, CRV, GreatPoint Ventures, Gilead Sciences "
"Cardiva Medical","USA","Jul","2020","Medical Devices","vascular closure,  catheter-based electrophysiology and cardiovascular procedures","https://www.cardivamedical.com/","$45 Million","Series C","EW Healthcare Partners, Luther King Capital Management, PTV Healthcare Capital, and Evidity Health Capital"
"Forge Biologics ","USA","Jul","2020","Genomics/Gene Therapy","Viral vectors, adeno-associated virus (AAV), Krabbe disease","https://www.forgebiologics.com/","$40 Million","Series A","Perceptive Xontogeny Venture Fund, Drive Capital"
"Angle Health","USA","Jul","2020","Digital Health","health insurance portal","https://join.anglehealth.com/","$4 Million","Seed","Blumberg Capital , Y Combinator, Correlation Ventures, TSVC, Liquid 2 Ventures"
"BioTheryX, Inc.","USA","Jul","2020","Early Stage Biotech","blood cancers, oncology, AML, Protein Homeostatic Modulators, PHM®-based PROTACs","https://www.biotheryx.com/","$35 Million","Series D","MSD Partners, L.P."
"MBX Biosciences","USA","Jul","2020","Early Stage Biotech","Rare Endocrine Diseases, peptide therapeutics","https://www.mbxbio.com/","$34.6 Million","Series A","Frazier Healthcare Partners, OrbiMed and New Enterprise Associates, Indiana Philanthropic Venture Fund (IU PhV), Indiana Seed Fund III (managed by BioCrossroads) and Twilight Venture Partners II"
"Elevation Oncology","USA","Jul","2020","Early Stage Biotech","Oncology, neuregulin-1 (NRG1) fusion. Solid tumors, seribantumab , fusion proteins","https://elevationoncology.com/","$32.5 Million","Series A","Aisling Capital, Vertex Ventures HC, Qiming Venture Partners USA, Driehaus Capital Management, and BVF Partners"
"Tranquis","USA","Jul","2020","Early Stage Biotech","Neurodegenerative Disorders, Amyotrophic Lateral Sclerosis (ALS) and Frontotemporal Dementia (FTD), Alzheimer’s and Parkinson’s disease","https://www.tranquis.com/","$30 Million","Series A","Remiges Ventures , SR One,Vivo Capital, Hillsborough Venture, Correlation Ventures"
"Presidio Medical","USA","Jul","2020","Medical Devices","neuromodulation platform technology, pain","https://presidiomedical.com/","$30 Million","Series A","Invus Opportunities, Action Potential Venture Capital"
"Trobix Bio","Israel","Jul","2020","Early Stage Biotech","Antimicrobial Resistance, ActiSense™, GOTraP™ platform technologies, TBX101, gut microbiome,  phage-based nanomedicine","https://www.trobixbio.com/","$3 Million","Series A","Chartered Opus"
"Selva Therapeutics","USA","Jul","2020","Early Stage Biotech","anti-viral, infectious diseases, COVID-19, SLV213, coronaviruses, Ebola viruses, and paramyxoviruses, Nipah virus,  Chagas disease","https://selvarx.com/selva/","$3 Million","Series A","Private (undisclosed)"
"Vesigen","USA","Jul","2020","Early Stage Biotech","ARRDC1 Mediated Microvesicles, ARMMs, Neurology, Ocular, Oncology","https://www.vesigentx.com/","$28.5 Million","Series A","Leaps by Bayer,Morningside Ventures, Linden Lake Ventures, Alexandria Venture Investments"
"Thrive Earlier Detection","USA","Jul","2020","Medical Diagnostics","CancerSEEK, liquid biopsy test ","https://thrivedetect.com/","$257 Million","Series B","Casdin Capital , Section 32, Bain Capital Life Sciences, Brown Advisory, Driehaus Capital Management, Intermountain Ventures, Janus Henderson Investors, Lux Capital, Moore Strategic Ventures, Perceptive Advisors, Rock Springs Capital, Sands Capital"
"Mantra Bio","USA","Jul","2020","Early Stage Biotech","REVEAL™ platform, Targeted Exosome Vehicles (TEVs), lipid nano-vesicles, precision therpaeutics","https://mantrabio.com/","$25 Million","Series A","8VC and Viking Global Investors, Box Group and Allen & Company LLC"
"Kahtnu Surgical","USA","Jul","2020","Medical Devices","spine implant and spine instrumentation, orthopedic surgery","https://kahtnu.com/","$2.15 Million","Series A","Kinetic Medical Co., Ltd."
"Paige","USA","Jul","2020","Medical Diagnostics","Computational pathology , cancer pathology, diagnostics","https://paige.ai/","$15 Million","Series B","Goldman Sachs Merchant Banking, Healthcare Venture Partners, Breyer Capital, Kenan Turnacioglu"
"Exalys Therapeutics Inc.","USA","Jul","2020","Early Stage Biotech","EP4 receptor antagonists, inflammatory disorders , postoperative delirium","https://exalystx.com/","$15 Million","Series A","Domain Associates , Catalys Pacific Launch"
"Activ Surgical","USA","Jul","2020","Digital Health","digital surgery, hardware-agnostic platform, computer vision, artificial intelligence and robotics","https://www.activsurgical.com/","$15 Million","Series A","Artis Ventures, LRVHealth,  DNS Capital, GreatPoint Ventures (GPV), Tao Capital Partners and Rising Tide VC"
"LumiThera ","USA","Jul","2020","Medical Devices","AMD, multi-wavelength photobiomodulation (PBM), ocular disorders, Valeda Light Delivery System for the treatment for dry Age-related Macular Degeneration (AMD)","https://www.lumithera.com/","$14 Million","Series C","WaterStar Capital, Imagine Ventures, Keiretsu Capital, Water Star Mercury Fund, Nikon Corporation and Celeste Management"
